_id,No. de proceso,Tipo proceso,Despacho judicial actual,Jurisdicción,Valor pretensión
1,2009-00261,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 17.025.184
2,2010-00064,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 257.500.000
3,2005-04458,Acción Popular,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
4,2006-01002,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 698.799.698
5,2010-01261,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE CUNDINAMARCA DESCONGESTIÓN SECCIÓN SEGUNDA,Administrativo,$ 160.680.000
6,2012-00130,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 55.776.100
7,2012-00047,Ordinario Laboral,TRIBUNAL SUPERIOR SALA LABORAL,Laboral,$ 11.334.000
8,2011-00075,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 964.080.000
9,2012-00778,Ordinario Laboral,TRIBUNAL SUPERIOR SALA LABORAL,Laboral,$ 11.790.000
10,2012-00204,Ordinario Laboral,JUZGADO 10 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 176.349.472
11,2012-00142,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 312.235.000
12,2013-00114,Nulidad y Restablecimiento del Derecho,CONSEJO DE ESTADO 001 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN PRIMERA,Administrativo,$ 464.349.600
13,2012-00136,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 539.412.754
14,2012-00123,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 924.318.000
15,2012-00504,Nulidad y Restablecimiento Tributario,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.206.527.994
16,2011-01375,Ordinario Laboral,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Laboral,$ 11.334.000
17,2009-00374,Acción de Grupo,JUZGADO 002 ADMINISTRATIVO DEL CIRCUITO DE POPAYÁN,Administrativo,$ 0
18,2011-00518,Ordinario Laboral,TRIBUNAL SUPERIOR SALA LABORAL,Laboral,$ 29.377.840
19,2011-00541,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 610.584.000
20,2012-00593,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
21,2004-00300,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 36.960.000
22,2010-00202,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.284.100.224
23,2008-00379,Acción Popular,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 0
24,2013-00035,Nulidad y Restablecimiento Tributario,JUZGADO 015 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 3.134.585
25,2010-00002,Reparacion Directa,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 187.460.000
26,2013-00422,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 943.200.000
27,2010-01774,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 500.000.000
28,2010-01708,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 411.920.000
29,2010-00125,Ordinario Laboral,JUZGADO 015 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 50.000.000
30,2019-00020,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 824.979.780
31,2004-00666,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 299.157.000
32,2011-00768,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
33,1998-01350,Reparacion Directa,CONSEJO DE ESTADO,Administrativo,$ 1.033.909.696
34,2012-00156,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 36.011.013
35,2008-01271,Nulidad y Restablecimiento del Derecho,CONSEJO DE ESTADO 001 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN PRIMERA,Administrativo,$ 138.450.000
36,2011-00084,Acción Popular,JUZGADO 017 ADMINISTRATIVO DE CALI,Administrativo,$ 0
37,2009-00269,Nulidad y Restablecimiento del Derecho,JUZGADO 017 ADMINISTRATIVO DE CALI,Administrativo,$ 15.937.723
38,2010-01472,Acción Popular,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 5.150.000
39,2008-00210,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 98.152.400
40,2010-00647,Nulidad Simple,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
41,2000-00185,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 851.877
42,2013-00006,Ordinario Laboral,TRIBUNAL SUPERIOR SALA LABORAL,Laboral,$ 11.790.000
43,2012-00264,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 147.375.000
44,2013-00223,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
45,2011-00145,Ordinario Laboral,JUZGADO 008 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 600.000.000
46,2012-00020,Acción Popular,JUZGADO 8 ADMINISTRATIVO DE DESCONGESTIÓN DEL CIRCUITO DE CALI,Administrativo,$ 0
47,2013-00423,Ordinario Laboral,TRIBUNAL SUPERIOR DE CALI SALA LABORAL,Laboral,$ 16.772.900
48,2011-00350,Reparacion Directa,JUZGADO 019 ADMINISTRATIVO ORAL DE CALI,Administrativo,$ 826.000.000
